study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ50_tab	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ50_tab	12.0	hr		65.0		12.5	3.60843918243516	23.0		mmol	mmol
Patel1984		all	12.0	HCTZ50_tab	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ50_tab	0.0	hr		0.0				0.0		mmol	mmol
