study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	geometric_mean	mean	mean_pm	median	sd	se	min	max	unit	comments
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	auc_inf	enalaprilat	plasma	GC/MS	NA	NA	NA	NA	731.3	719.8	771.5	NA	267.2	54.5419716059721	446.1	1476.6	ng/ml*hr	how to encode geometric means
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	auc_end	enalaprilat	plasma	GC/MS	NA	36.0	hr	NA	635.3	638.8	676.5	NA	252.9	51.6229963291555	358.8	1340.1	ng/ml*hr	how to encode geometric means
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	cmax	enalaprilat	plasma	GC/MS	NA	NA	NA	NA	74.5	77.3	79.5	NA	27.1	5.53176433578534	29.2	133.0	ng/ml	how to encode geometric means
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	tmax	enalaprilat	plasma	GC/MS	NA	NA	NA	NA	3.8	3.5	3.9	NA	1.0	0.204124145231932	2.5	6.0	hr	how to encode geometric means
Niopas2011	NA	all	24.0	ENA20, HCTZ12.5	thalf	enalaprilat	plasma	GC/MS	NA	NA	NA	NA	5.4	5.1	6.0	NA	3.1	0.632784850218988	2.7	14.8	hr	how to encode geometric means
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	auc_inf	enalaprilat	plasma	GC/MS	NA	NA	NA	NA	673.0	637.3	711.3	NA	250.4	51.1126859660757	343.5	1297.6	ng/ml*hr	how to encode geometric means
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	auc_end	enalaprilat	plasma	GC/MS	NA	36.0	hr	NA	595.7	554.7	637.0	NA	247.1	50.4390762868103	287.9	1233.1	ng/ml*hr	how to encode geometric means
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	cmax	enalaprilat	plasma	GC/MS	NA	NA	NA	NA	72.8	66.9	79.6	NA	34.5	7.04228301050164	35.3	147.0	ng/ml	how to encode geometric means
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	tmax	enalaprilat	plasma	GC/MS	NA	NA	NA	NA	3.8	3.8	3.9	NA	1.0	0.204124145231932	2.5	6.0	hr	how to encode geometric means
Niopas2011	NA	all	24.0	REF20, HCTZ12.5	thalf	enalaprilat	plasma	GC/MS	NA	NA	NA	NA	4.8	4.5	5.2	NA	2.3	0.469485534033442	2.6	12.1	hr	how to encode geometric means
