study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Howes1991	NA	all	12.0	ENA10	auc measurement	enalaprilat	plasma	RIA	NA	NA	NA	NA	451.0	NA	152.0	NA	ng*h/ml	NA
Howes1991	NA	all	12.0	ENA10	cmax	enalaprilat	plasma	RIA	NA	NA	NA	NA	54.0	NA	21.0	NA	ng/ml	NA
Howes1991	NA	all	12.0	ENA10	tmax	enalaprilat	plasma	RIA	NA	NA	NA	NA	3.3	NA	0.5	NA	hr	NA
Howes1991	NA	all	12.0	ENA10	thalf	enalaprilat	plasma	RIA	NA	NA	NA	NA	5.4	NA	2.0	NA	hr	NA
Howes1991	NA	all	12.0	ENA10	cumulative amount	enalaprilat	urine	RIA	ENA10_cumulative amount_enalaprilat	96.0	hr	NA	2.9	NA	0.66	NA	mg	NA
Howes1991	NA	all	12.0	ENA10, HCTZ25	auc measurement	enalaprilat	plasma	RIA	NA	NA	NA	NA	397.0	NA	185.0	NA	ng*h/ml	enalapril/hctz as two separate tablets
Howes1991	NA	all	12.0	ENA10, HCTZ25	cmax	enalaprilat	plasma	RIA	NA	NA	NA	NA	46.0	NA	22.0	NA	ng/ml	enalapril/hctz as two separate tablets
Howes1991	NA	all	12.0	ENA10, HCTZ25	tmax	enalaprilat	plasma	RIA	NA	NA	NA	NA	4.0	NA	1.0	NA	hr	enalapril/hctz as two separate tablets
Howes1991	NA	all	12.0	ENA10, HCTZ25	thalf	enalaprilat	plasma	RIA	NA	NA	NA	NA	5.5	NA	2.0	NA	hr	enalapril/hctz as two separate tablets
Howes1991	NA	all	12.0	ENA10, HCTZ25	cumulative amount	enalaprilat	urine	RIA	ENA10, HCTZ25multi_cumulative amount_enalaprilat	96.0	hr	NA	2.43	NA	0.77	NA	mg	enalapril/hctz as two separate tablets
Howes1991	NA	all	12.0	ENA10, HCTZ25	auc measurement	enalaprilat	plasma	RIA	NA	NA	NA	NA	365.0	NA	193.0	NA	ng*h/ml	enalapril/hctz in one combination tablet
Howes1991	NA	all	12.0	ENA10, HCTZ25	cmax	enalaprilat	plasma	RIA	NA	NA	NA	NA	43.0	NA	18.0	NA	ng/ml	enalapril/hctz in one combination tablet
Howes1991	NA	all	12.0	ENA10, HCTZ25	tmax	enalaprilat	plasma	RIA	NA	NA	NA	NA	3.7	NA	0.9	NA	hr	enalapril/hctz in one combination tablet
Howes1991	NA	all	12.0	ENA10, HCTZ25	thalf	enalaprilat	plasma	RIA	NA	NA	NA	NA	4.9	NA	2.3	NA	hr	enalapril/hctz in one combination tablet
Howes1991	NA	all	12.0	ENA10, HCTZ25	cumulative amount	enalaprilat	urine	RIA	ENA10, HCTZ25combi_cumulative amount_enalaprilat	96.0	hr	NA	2.98	NA	1.56	NA	mg	enalapril/hctz in one combination tablet
