study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Weir1998	HCTZ25	S-132T12R11	NA	hr	oral	multiple dose	dosing	tablet	hydrochlorothiazide	25	mg	1 tablet every 12h for 11 doses (5.5 days)
Weir1998	DIL60	S-126T6R21	NA	hr	oral	multiple dose	dosing	tablet	diltiazem	60	mg	4 times daily for 21 doses (5.25 days)
