study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	cv	sd	se	unit	comments
Weir1998	NA	without_plasmainterference	15.0	HCTZ25	muliple_dosing_cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	221.8	NA	29.0	64.322	NA	ng/ml	coefficient of variation in percentage
Weir1998	NA	without_plasmainterference	15.0	HCTZ25	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	1.77	NA	41.0	0.7257000000000001	NA	hr	NA
Weir1998	NA	without_plasmainterference	15.0	HCTZ25	auc_end	hydrochlorothiazide	plasma	HPLC	NA	12.0	hr	NA	1193.9	NA	26.0	310.414	NA	ng*hr/ml	NA
Weir1998	NA	without_plasmainterference	15.0	HCTZ25	thalf	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	9.74	NA	17.0	1.6558000000000002	NA	hr	NA
Weir1998	NA	without_plasmainterference	15.0	HCTZ25	clearance	hydrochlorothiazide	urine	HPLC	NA	NA	NA	NA	22.4	NA	27.0	6.047999999999999	NA	l/hr	NA
Weir1998	NA	without_plasmainterference	15.0	HCTZ25	muliple_dosing_cmin	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	50.7	NA	29.0	14.703000000000001	NA	ng/ml	NA
Weir1998	NA	without_plasmainterference	15.0	HCTZ25	clearance_renal	hydrochlorothiazide	urine	HPLC	NA	NA	NA	NA	14.4	NA	38.0	5.472	NA	l/hr	unit not clearly reported
Weir1998	NA	without_plasmainterference	15.0	HCTZ25,DIL60	muliple_dosing_cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	228.3	NA	22.0	50.226000000000006	NA	ng/ml	coefficient of variation in percentage
Weir1998	NA	without_plasmainterference	15.0	HCTZ25,DIL60	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	2.03	NA	38.0	0.7713999999999999	NA	hr	NA
Weir1998	NA	without_plasmainterference	15.0	HCTZ25,DIL60	auc_end	hydrochlorothiazide	plasma	HPLC	NA	12.0	hr	NA	1247.2	NA	26.0	324.272	NA	ng*hr/ml	NA
Weir1998	NA	without_plasmainterference	15.0	HCTZ25,DIL60	thalf	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	9.58	NA	16.0	1.5328	NA	hr	NA
Weir1998	NA	without_plasmainterference	15.0	HCTZ25,DIL60	clearance	hydrochlorothiazide	urine	HPLC	NA	NA	NA	NA	21.2	NA	23.0	4.8759999999999994	NA	l/hr	NA
Weir1998	NA	without_plasmainterference	15.0	HCTZ25,DIL60	muliple_dosing_cmin	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	48.8	NA	35.0	17.08	NA	ng/ml	NA
Weir1998	NA	without_plasmainterference	15.0	HCTZ25,DIL60	clearance_renal	hydrochlorothiazide	urine	HPLC	NA	NA	NA	NA	15.5	NA	35.0	5.425	NA	l/hr	unit not clearly reported
