study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	cv	mean_sd	mean_se	comments	mean_unit	value_unit
Weir1998		all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	4.0	hr		2.099428955324152e-09		41.0	8.607658716829022e-10		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
Weir1998		all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	8.0	hr		9.564065240921134e-10		32.0	3.0605008770947627e-10		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
Weir1998		all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	12.0	hr		6.998096517747177e-10		30.0	2.0994289553241526e-10		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
Weir1998		all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	24.0	hr		2.7214819791239004e-10		28.0	7.620149541546914e-11		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
Weir1998		all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	36.0	hr		1.2441060475994954e-10		27.0	3.3590863285186334e-11		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
Weir1998		all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	48.0	hr		7.775662797496856e-11		27.0	2.0994289553241517e-11		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
