study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	cv	mean_sd	mean_se	comments	mean_unit	value_unit
Weir1998		all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	4.0	hr		2.099428955324152e-09		25.0	8.584331728436532e-10		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
Weir1998		all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	8.0	hr		9.610719217706117e-10		23.0	3.0791624678087564e-10		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
Weir1998		all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	12.0	hr		6.998096517747172e-10		20.0	2.146082932109133e-10		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
Weir1998		all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	24.0	hr		2.7059306535289065e-10		22.0	7.464636285596985e-11		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
Weir1998		all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	36.0	hr		1.21300339640951e-10		21.0	3.7323181427984924e-11		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
Weir1998		all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	48.0	hr		7.464636285596985e-11		21.0	1.8661590713992462e-11		processed data to reflect excretion rate; data not correct per hour in table; estimation of error	mole/second	mg/hr
