study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Devineni2014	all	30	NA	species	30	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2014	all	30	NA	healthy	30	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2014	all	30	NA	sex	14	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2014	all	30	NA	sex	16	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2014	all	30	NA	age	30	NA	NA	43.7	NA	8.4	NA	18.0	55.0	yr	NA
Devineni2014	all	30	NA	bmi	30	NA	NA	25.7	NA	2.2	NA	18.0	30.0	kg/m^2	NA
Devineni2014	all	30	NA	weight	30	NA	NA	75.6	NA	9.4	NA	50.0	NA	kg	NA
Devineni2014	all	30	NA	clearance	30	creatine	NA	NA	NA	NA	NA	70.0	NA	ml/min	NA
